Classification,Message
Wrong number,Wrong number
Unknown,"Hey Crissy, doing pretty well here with Jennings Energy Services. Running sales for our pipeline and facility division. Not sure a move to pump Tex would do me any good. Thank you for passing it my way."
Avoid,Hi Stephanie. I did not receive any emails from you. I looked up Account Sense & see you are in Kennewick. We moved from the TC to Tucson 5 years ago. Please remove me from your email & text list. Did you find my resume on a website?
Unknown,No thanks
Deny,Hi Crissy. Thank you for reaching out. At this time it does not seem like the position fits my next career move as I prefer to stay in management. Thank you again for the consideration.
Unknown ',Great!
More info,"I would like to know more, can we talk?"
Unknown,Crissy I never saw. Was it sent to tcbault@yahoo ?
More info,"Good morning Crissy. I am interested in learning more about this position available with Pumptex, although unfortunately I have limited time today. May I request a call about this opportunity tomorrow morning?"
More info,What is this about
Meeting,I can do tomorrow from 10:30-11 am.
Unknown,Crissy I never received email and I was looking for it. trfoz0321@Gmail.com
More info,I didn't get the email.
Deny,No thanks Good where I'm at.
More info,Talk to you then! Have a great afternoon 😊
Unknown,Haven't gotten any email
Unknown,No thanks
Unknown,I think it went well!
Unknown,Hey! Didn't realize you texted me I just sent you an email
Unknown ',Unsubscribe. 😡
Who is this,Who is this?
Wrong number,Wrong person.
Wrong number,Hi Chrissy this isn't Jeremy's number anymore. Thanks
Deny,Good morning! I have no interest in sales at this time. Thank you. Have a great day.
Deny,Thanks for your time as well Crissy!
Spam,Tammy Buckley https://www.linkedin.com/in/tammy-buckley-3653921b
Spam,Rob Jones Mobile (707) 490-7397 https://www.linkedin.com/in/robjonesoracle
Deny,"Yes, I'm not interested. Thanks"
Unknown ',Np
More info,Okay cool! I don't know much about fantasy draft leagues but I don't mind learning more about what you are looking for. My day is full today but I may have some time tomorrow to chat.
Deny,Interesting. I'll take a look. Thank you
Unknown,Hey a im in maryland
Meeting,Sure tomorrow at 2:30pm looking forword
How did you get my #?,"Oh ok, how did you get my contact info and know my name? Just wondering"
More info,No I hadn't received it. Did we already connect on Linked in? Company name?
Deny,Good morning. Yes I did. Thank you but at this time I am not interested
Unknown,??
Unknown,Thanks
Unknown,No
More info,"Hi, who is this, I'm sorry"
Deny,That works! My apologies for any inconvenience I may have caused and thank you.
Avoid,Stop
Deny,Sorry currently working
Wrong number,Wrong number
Unknown,Yes
Unknown,Yes resend them
Wrong number,Im sorry I think you have the wrong number
Deny,Hi Crissy. Thanks for your message. Is this a comission only position?
Unknown,"No, haven't received them"
Unknown,Not interested Thanks
Wrong number,I think you have the wrong number
Deny,"Hi Crissy, thank you but I'm going to have to pass."
Avoid,Please stop contacting me thank you
Who is this,I am not sure who this is*
Deny,Sorry. I'm not interested.
Who is this,I am not who this is
Avoid,Please take my number of your list. I have not given permission to anyone to text me unsolicited
Wrong number,Wrong number
Unknown,Not interested
Unknown,"I don't know, from which company were the emails sent?"
Deny,I'm not kimberly
Deny,Im Not interested. Thank you
Unknown,"Yes I️ have. But I️ live in broward, Miami is too far for me."
Meeting,You can call me at 12 today
Deny,I'm not really interested in general maintenance. I'm working on getting my refrigeration license
Spam,"B-) Congrats! Paul, Up to 1500 LOAN. ALL CREDIT OK Visit - https://QuickCashOnline.me/pdzxYD Txt STOP to stop"
Deny,I'm not Vincente
Unknown,Thanks!
Wrong number,Wrong person
Unknown,Not interested
Unknown,"Good morning ,I haven't got any message"
More info,Can you email me about the job to see if I'm qualified? Arrlebron@yahoo.com
Avoid,You can contact me at arw523@comcast.net. thanks!
Who is this,Who is this?
Meeting,"Ok, nice meeting you vicki, i would like if you give me a call"
Deny,No thank you. I don't know anything about this.
Unknown,Ok
Deny,Yes I am currently working Tho
More info,No who's this?
Unknown,??
Unknown,May know whom im speaking with please?
Who is this,"Sorry, who is this?"
More info,"So no, I did not."
Unknown,Whonis that?
Unknown,Not sure where this is or who this is?
Unknown ',Fair enough. Enjoy your day! :)
Unknown,No
Unknown,No
More info,No I didn't. That being said I'm not looking to a maintenance tech job
Spam,"Paul: Today, all credit types accepted. Request loan at Lend52.com/go/?v1=g9IL4s5H for up to $1,000. Log in now. Txt STOP to stop"
Unknown,Have you shown you anything? Or discussed anything with you?
Unknown,Yes. That will be fine.
Wrong number,Wrong number
More info,"Stephanie, I used Senske services on my lot in West Richland for a season. Unfortunately I had to replace a huge part of grass ruined. I didn't involve you since I took the opportunity to add more soil to even out the lawn. Now am gun shy."
Unknown,Didn't get the email
More info,So that I can prepare can you give me your company url?
Meeting,I am free after 10am 4089813140
Deny,Sorry I am not available
Meeting,I will be available tomorrow after my first appointment from 9:30 to 1:00 if you would like to call Thanks Jeanie
Unknown,Hi! I'm not a designer tho.
Wrong number,Wrong number
Unknown,"I'm sorry, I just noticed this text. Who am I talking to here? Are you scheduling phone iterviews or in person? What is the salary, hours/days? Benefits? I am only an LPC, I hope to pass the LCPC exam in December."
Unknown,"Hi Anna, have we spoken in the past? Apologies if I don't remember having have met. Can you tell me a little more about Draft Kings?"
Unknown,"Hi Anna, I am a mechanical/CAD designer. I don't think that is what you are seeking?"
Unknown ',Which Vicki is this?
Unknown,Hello Amana. I keep getting a busy signal when I try and call you.
Deny,Hey Vicki - thank you for the consideration but I am not interested in the position available. Good luck in your search!
More info,Sure when were you thinking?
Deny,"Hi Anna! Thank you for considering me, but I'm not interested in relocating. Good luck with your search."
Unknown,No thank you
Deny,Yes I did. Thanks for sending and interest but I'm not interested. Good luck.
Spam,@kingbabystudio: Check out our new pieces from the Chrysoprase collection!!! https://t.co/vc8mAlDvoU #KingBaby #HandCrafted #ForTheChosenFew #Quality #Jewe...
Meeting,Can we chat when I get back. The week of the 27th works for me
Deny,"Hi Anna, I'm so sorry this is the first message I'm seeing. I'd absolutely be interested in connecting to chat however I'm on vacation for 2 weeks"
More info,I am not sure you email me the info yet since I didnt get it. Please kindly email me again at your convenience. Thanks!
Unknown,Hey Crissy I'm in Indianapolis no longer in florida
Deny,I'm thinking about it. I work very closely with Investors Title currently and someone had already mentioned that position to me.
Deny,"Hi, thanks for reaching out, but I am currently in the middle of some project so can't apply for now. Hope you can find a good fit, thanks again"
Deny,"Thanks for reaching out Anna, I don't think i'm a good fit for this job. Thanks!"
Unknown,Yeah
Unknown,But be good to stay in touch.
Deny,I am not looking right now.
Unknown,Yup! That works
Unknown ',How are you?
Meeting,"Does tomorrow or Wednesday at 11:30am, or Friday at 1pm work for you?"
Unknown,Amy
Unknown,8:30
Confirm,Can we move to tomorrow
Unknown,Perfect
Unknown,Oh no thank you!
Who is this,Hi! So sorry but who is this?
Unknown,5 minutes?
Unknown,I am super excited about this opportunity. Getting anxious lol
Unknown,Thank you! You as well!
Unknown,Perfect!
Meeting,Crissy-do you have some time to talk now?
